run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-13-20260516-23:26:30-3656,config,,,**.constraintAreaMaxY,1090.0m,,
General-13-20260516-23:26:30-3656,config,,,**.loRaGW[0].**.initialX,544.00m,,
General-13-20260516-23:26:30-3656,config,,,**.loRaGW[0].**.initialY,544.00m,,
General-13-20260516-23:26:30-3656,config,,,output-scalar-file,../results/n100-gw1-s13.ini.sca,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[0..1].app[0].sendInterval,1h,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[0].**.initialX,510.63m,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[0].**.initialY,500.08m,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[1].**.initialX,470.29m,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[1].**.initialY,520.24m,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[2].**.initialX,500.60m,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[2].**.initialY,590.25m,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[3].**.initialX,535.86m,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[3].**.initialY,590.63m,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[2..3].app[0].sendInterval,exponential(8760h),,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[4..5].app[0].sendInterval,exponential(4h),,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[4].**.initialX,650.85m,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[4].**.initialY,510.11m,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[5].**.initialX,680.27m,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[5].**.initialY,520.84m,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[0].**initialLoRaSF,8,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[0].**initialLoRaTP,8dBm,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[1].**initialLoRaSF,9,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[1].**initialLoRaTP,8dBm,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[2].**initialLoRaSF,7,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[2].**initialLoRaTP,8dBm,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[3].**initialLoRaSF,7,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[3].**initialLoRaTP,2dBm,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[4].**initialLoRaSF,8,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[4].**initialLoRaTP,8dBm,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[5].**initialLoRaSF,7,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[5].**initialLoRaTP,2dBm,,
General-13-20260516-23:26:30-3656,config,,,**.vector-recording,false,,
General-13-20260516-23:26:30-3656,config,,,**.loRaGW[*].packetForwarder.highQueueLength.vector-recording,true,,
General-13-20260516-23:26:30-3656,config,,,**.loRaGW[*].packetForwarder.lowQueueLength.vector-recording,true,,
General-13-20260516-23:26:30-3656,config,,,**.networkServer.app[0].delaySignal.vector-recording,true,,
General-13-20260516-23:26:30-3656,config,,,**.loRaNodes[*].app[0].packetsSent:scalar,true,,
General-13-20260516-23:26:30-3656,config,,,**.networkServer.app[0].totalReceivedPackets:scalar,true,,
General-13-20260516-23:26:30-3656,config,,,**.loRaGW[*].**.packetDropRate:scalar,true,,
General-8-20260516-23:06:30-3608,runattr,,,configname,General,,
General-8-20260516-23:06:30-3608,runattr,,,datetime,20260516-23:06:30,,
General-8-20260516-23:06:30-3608,runattr,,,datetimef,20260516-230630,,
General-8-20260516-23:06:30-3608,runattr,,,experiment,General,,
General-8-20260516-23:06:30-3608,runattr,,,inifile,n100-gw1.ini,,
General-8-20260516-23:06:30-3608,runattr,,,iterationvars,"$0=""avg""",,
General-8-20260516-23:06:30-3608,runattr,,,iterationvarsd,avg,,
General-8-20260516-23:06:30-3608,runattr,,,iterationvarsf,avg-,,
General-8-20260516-23:06:30-3608,runattr,,,measurement,"$0=""avg""",,
General-8-20260516-23:06:30-3608,runattr,,,network,flora.simulations.LoRaNetworkTest,,
General-8-20260516-23:06:30-3608,runattr,,,processid,3608,,
General-8-20260516-23:06:30-3608,runattr,,,repetition,8,,
General-8-20260516-23:06:30-3608,runattr,,,replication,#8,,
General-8-20260516-23:06:30-3608,runattr,,,resultdir,results,,
General-8-20260516-23:06:30-3608,runattr,,,runnumber,8,,
General-8-20260516-23:06:30-3608,runattr,,,seedset,8,,
General-8-20260516-23:06:30-3608,config,,,image-path,../../../inet4.4/images,,
General-8-20260516-23:06:30-3608,config,,,network,flora.simulations.LoRaNetworkTest,,
General-8-20260516-23:06:30-3608,config,,,output-vector-file,../results/n100-gw1-s8.ini.vec,,
General-8-20260516-23:06:30-3608,config,,,**.maxTransmissionDuration,4s,,
General-8-20260516-23:06:30-3608,config,,,**.energyDetection,-110dBm,,
General-8-20260516-23:06:30-3608,config,,,**.vector-recording,true,,
General-8-20260516-23:06:30-3608,config,,,rng-class,cMersenneTwister,,
General-8-20260516-23:06:30-3608,config,,,**.loRaGW[*].numUdpApps,1,,
General-8-20260516-23:06:30-3608,config,,,**.loRaGW[0].packetForwarder.localPort,2000,,
General-8-20260516-23:06:30-3608,config,,,**.loRaGW[0].packetForwarder.destPort,1000,,
General-8-20260516-23:06:30-3608,config,,,**.loRaGW[0].packetForwarder.destAddresses,"""networkServer""",,
General-8-20260516-23:06:30-3608,config,,,**.loRaGW[0].packetForwarder.indexNumber,0,,
General-8-20260516-23:06:30-3608,config,,,**.networkServer.numApps,1,,
General-8-20260516-23:06:30-3608,config,,,**.networkServer.**.evaluateADRinServer,true,,
General-8-20260516-23:06:30-3608,config,,,**.networkServer.app[0].typename,NetworkServerApp,,
General-8-20260516-23:06:30-3608,config,,,**.networkServer.app[0].destAddresses,"""loRaGW[0]""",,
General-8-20260516-23:06:30-3608,config,,,**.networkServer.app[0].destPort,2000,,
General-8-20260516-23:06:30-3608,config,,,**.networkServer.app[0].localPort,1000,,
General-8-20260516-23:06:30-3608,config,,,**.networkServer.app[0].adrMethod,"""avg""",,
General-8-20260516-23:06:30-3608,config,,,**.numberOfPacketsToSend,0,,
General-8-20260516-23:06:30-3608,config,,,sim-time-limit,3d,,
General-8-20260516-23:06:30-3608,config,,,warmup-period,2h,,
General-8-20260516-23:06:30-3608,config,,,simtime-resolution,-11,,
General-8-20260516-23:06:30-3608,config,,,repeat,20,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[{0..1}].app[0].timeToFirstPacket,"uniform(0h, 1h)",,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[{0..1}].app[0].timeToNextPacket,1h,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[{2..3}].app[0].timeToFirstPacket,exponential(24h),,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[{2..3}].app[0].timeToNextPacket,exponential(24h),,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[{4..5}].app[0].timeToFirstPacket,exponential(4h),,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[{4..5}].app[0].timeToNextPacket,exponential(4h),,
General-8-20260516-23:06:30-3608,config,,,**.alohaChannelModel,false,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[*].**.initFromDisplayString,false,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[*].**.evaluateADRinNode,true,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[*].**initialLoRaBW,125 kHz,,
