run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20260516-22:34:32-3550,config,,,**.constraintAreaMaxY,1090.0m,,
General-0-20260516-22:34:32-3550,config,,,**.loRaGW[0].**.initialX,544.00m,,
General-0-20260516-22:34:32-3550,config,,,**.loRaGW[0].**.initialY,544.00m,,
General-0-20260516-22:34:32-3550,config,,,output-scalar-file,../results/n100-gw1-s0.ini.sca,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[0..1].app[0].sendInterval,1h,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[0].**.initialX,510.63m,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[0].**.initialY,500.08m,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[1].**.initialX,470.29m,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[1].**.initialY,520.24m,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[2].**.initialX,500.60m,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[2].**.initialY,590.25m,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[3].**.initialX,535.86m,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[3].**.initialY,590.63m,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[2..3].app[0].sendInterval,exponential(8760h),,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[4..5].app[0].sendInterval,exponential(4h),,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[4].**.initialX,650.85m,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[4].**.initialY,510.11m,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[5].**.initialX,680.27m,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[5].**.initialY,520.84m,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[0].**initialLoRaSF,8,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[0].**initialLoRaTP,8dBm,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[1].**initialLoRaSF,9,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[1].**initialLoRaTP,8dBm,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[2].**initialLoRaSF,7,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[2].**initialLoRaTP,8dBm,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[3].**initialLoRaSF,7,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[3].**initialLoRaTP,2dBm,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[4].**initialLoRaSF,8,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[4].**initialLoRaTP,8dBm,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[5].**initialLoRaSF,7,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[5].**initialLoRaTP,2dBm,,
General-0-20260516-22:34:32-3550,config,,,**.vector-recording,false,,
General-0-20260516-22:34:32-3550,config,,,**.loRaGW[*].packetForwarder.highQueueLength.vector-recording,true,,
General-0-20260516-22:34:32-3550,config,,,**.loRaGW[*].packetForwarder.lowQueueLength.vector-recording,true,,
General-0-20260516-22:34:32-3550,config,,,**.networkServer.app[0].delaySignal.vector-recording,true,,
General-0-20260516-22:34:32-3550,config,,,**.loRaNodes[*].app[0].packetsSent:scalar,true,,
General-0-20260516-22:34:32-3550,config,,,**.networkServer.app[0].totalReceivedPackets:scalar,true,,
General-0-20260516-22:34:32-3550,config,,,**.loRaGW[*].**.packetDropRate:scalar,true,,
General-0-20260516-22:34:32-3550,vector,LoRaNetworkTest.loRaGW[0].packetForwarder,lowQueueLength:vector,,,"10250.24603031087 10250.24603031087 13850.24603031087 13850.24603031087 17450.24603031087 17450.24603031087 21050.24603031087 21050.24603031087 24650.24603031087 24650.24603031087 28250.24603031087 28250.24603031087 31850.24603031087 31850.24603031087 39050.24603031087 39050.24603031087 42650.24603031087 42650.24603031087 46250.24603031087 46250.24603031087 49850.24603031087 49850.24603031087 53450.24603031087 53450.24603031087 57050.24603031087 57050.24603031087 64250.24603031087 64250.24603031087 67850.24603031087 67850.24603031087 75050.24603031087 75050.24603031087 78650.24603031087 78650.24603031087 82250.24603031087 82250.24603031087 85850.24603031087 85850.24603031087 89450.24603031087 89450.24603031087 96650.24603031087 96650.24603031087 100250.24603031087 100250.24603031087 103850.24603031087 103850.24603031087 107450.24603031087 107450.24603031087 111050.24603031087 111050.24603031087 114650.24603031087 114650.24603031087 118250.24603031087 118250.24603031087 121850.24603031087 121850.24603031087 129050.24603031087 129050.24603031087 132650.24603031087 132650.24603031087 136250.24603031087 136250.24603031087 139850.24603031087 139850.24603031087 143450.24603031087 143450.24603031087 147050.24603031087 147050.24603031087 150650.24603031087 150650.24603031087 154250.24603031087 154250.24603031087 157850.24603031087 157850.24603031087 161450.24603031087 161450.24603031087 165050.24603031087 165050.24603031087 168650.24603031087 168650.24603031087 172250.24603031087 172250.24603031087 183050.24603031087 183050.24603031087 186650.24603031087 186650.24603031087 190250.24603031087 190250.24603031087 193850.24603031087 193850.24603031087 197450.24603031087 197450.24603031087 201050.24603031087 201050.24603031087 204650.24603031087 204650.24603031087 208250.24603031087 208250.24603031087 211850.24603031087 211850.24603031087 215450.24603031087 215450.24603031087 219050.24603031087 219050.24603031087 222650.24603031087 222650.24603031087 229850.24603031087 229850.24603031087 233450.24603031087 233450.24603031087 237050.24603031087 237050.24603031087 244250.24603031087 244250.24603031087 247850.24603031087 247850.24603031087 251450.24603031087 251450.24603031087 255050.24603031087 255050.24603031087 258650.24603031087 258650.24603031087","1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0"
General-0-20260516-22:34:32-3550,attr,LoRaNetworkTest.loRaGW[0].packetForwarder,lowQueueLength:vector,recordingmode,vector,,
General-0-20260516-22:34:32-3550,attr,LoRaNetworkTest.loRaGW[0].packetForwarder,lowQueueLength:vector,source,lowQueueLength,,
General-0-20260516-22:34:32-3550,attr,LoRaNetworkTest.loRaGW[0].packetForwarder,lowQueueLength:vector,title,Low Priority Queue Length,,
General-0-20260516-22:34:32-3550,vector,LoRaNetworkTest.loRaGW[0].packetForwarder,highQueueLength:vector,,,"8725.40405269682 8725.40405269682 12325.40405269682 12325.40405269682 15925.40405269682 15925.40405269682 19525.40405269682 19525.40405269682 23125.40405269682 23125.40405269682 26725.40405269682 26725.40405269682 30325.40405269682 30325.40405269682 33925.40405269682 33925.40405269682 41125.40405269682 41125.40405269682 44725.40405269682 44725.40405269682 48325.40405269682 48325.40405269682 51925.40405269682 51925.40405269682 55525.40405269682 55525.40405269682 59125.40405269682 59125.40405269682 62725.40405269682 62725.40405269682 66325.40405269682 66325.40405269682 69925.40405269682 69925.40405269682 73525.40405269682 73525.40405269682 77125.29704469682 77125.29704469682 80725.29704469682 80725.29704469682 84413.43332059772 84413.43332059772 87264.97762946603 87264.97762946603 91525.29704469682 91525.29704469682 95125.29704469682 95125.29704469682 99755.2035042027 99755.2035042027 102325.29704469682 102325.29704469682 105925.29704469682 105925.29704469682 110099.67153124469 110099.67153124469 116725.29704469682 116725.29704469682 120325.29704469682 120325.29704469682 123925.29704469682 123925.29704469682 127525.29704469682 127525.29704469682 131125.29704469682 131125.29704469682 134725.29704469682 134725.29704469682 138325.29704469682 138325.29704469682 152725.29704469682 152725.29704469682 156325.29704469682 156325.29704469682 159925.29704469682 159925.29704469682 163525.29704469682 163525.29704469682 167125.29704469682 167125.29704469682 174325.29704469682 174325.29704469682 175863.66870552607 175863.66870552607 177925.29704469682 177925.29704469682 181525.29704469682 181525.29704469682 185125.29704469682 185125.29704469682 192325.29704469682 192325.29704469682 195925.29704469682 195925.29704469682 199525.29704469682 199525.29704469682 203125.29704469682 203125.29704469682 206725.29704469682 206725.29704469682 210325.29704469682 210325.29704469682 213925.29704469682 213925.29704469682 217525.29704469682 217525.29704469682 221125.29704469682 221125.29704469682 224725.29704469682 224725.29704469682 228325.29704469682 228325.29704469682 231925.29704469682 231925.29704469682 239125.29704469682 239125.29704469682 242725.29704469682 242725.29704469682 246325.29704469682 246325.29704469682 249925.29704469682 249925.29704469682 253525.29704469682 253525.29704469682 257125.29704469682 257125.29704469682","1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0"
General-0-20260516-22:34:32-3550,attr,LoRaNetworkTest.loRaGW[0].packetForwarder,highQueueLength:vector,recordingmode,vector,,
General-0-20260516-22:34:32-3550,attr,LoRaNetworkTest.loRaGW[0].packetForwarder,highQueueLength:vector,source,highQueueLength,,
General-0-20260516-22:34:32-3550,attr,LoRaNetworkTest.loRaGW[0].packetForwarder,highQueueLength:vector,title,High Priority Queue Length,,
