run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20260518-01:47:11-2687,config,,,**.displayAddresses,false,,
General-0-20260518-01:47:11-2687,config,,,**.numberOfNodes,6,,
General-0-20260518-01:47:11-2687,config,,,**.numberOfGateways,1,,
General-0-20260518-01:47:11-2687,config,,,**.constraintAreaMaxX,2376.0m,,
General-0-20260518-01:47:11-2687,config,,,**.constraintAreaMaxY,1090.0m,,
General-0-20260518-01:47:11-2687,config,,,**.loRaGW[0].**.initialX,544.00m,,
General-0-20260518-01:47:11-2687,config,,,**.loRaGW[0].**.initialY,544.00m,,
General-0-20260518-01:47:11-2687,config,,,output-scalar-file,../results/n100-gw1-s0.ini.sca,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[0..1].app[0].sendInterval,1h,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[0].**.initialX,510.63m,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[0].**.initialY,500.08m,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[1].**.initialX,470.29m,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[1].**.initialY,520.24m,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[2].**.initialX,500.60m,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[2].**.initialY,590.25m,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[3].**.initialX,535.86m,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[3].**.initialY,590.63m,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[2..3].app[0].sendInterval,exponential(8760h),,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[4..5].app[0].sendInterval,exponential(4h),,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[4].**.initialX,650.85m,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[4].**.initialY,510.11m,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[5].**.initialX,680.27m,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[5].**.initialY,520.84m,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[0].**initialLoRaSF,8,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[0].**initialLoRaTP,8dBm,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[1].**initialLoRaSF,9,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[1].**initialLoRaTP,8dBm,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[2].**initialLoRaSF,7,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[2].**initialLoRaTP,8dBm,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[3].**initialLoRaSF,7,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[3].**initialLoRaTP,2dBm,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[4].**initialLoRaSF,8,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[4].**initialLoRaTP,8dBm,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[5].**initialLoRaSF,7,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[5].**initialLoRaTP,2dBm,,
General-0-20260518-01:47:11-2687,config,,,**.vector-recording,false,,
General-0-20260518-01:47:11-2687,config,,,**.loRaGW[*].packetForwarder.highQueueLength.vector-recording,true,,
General-0-20260518-01:47:11-2687,config,,,**.loRaGW[*].packetForwarder.lowQueueLength.vector-recording,true,,
General-0-20260518-01:47:11-2687,config,,,**.networkServer.app[0].delaySignal.vector-recording,true,,
General-0-20260518-01:47:11-2687,config,,,**.loRaNodes[*].app[0].packetsSent:scalar,true,,
General-0-20260518-01:47:11-2687,config,,,**.networkServer.app[0].totalReceivedPackets:scalar,true,,
General-0-20260518-01:47:11-2687,config,,,**.loRaGW[*].**.packetDropRate:scalar,true,,
General-0-20260518-01:47:11-2687,vector,LoRaNetworkTest.loRaGW[0].packetForwarder,highQueueLength:vector,,,"17450.35303838521 17450.35303838521 21050.35303838521 21050.35303838521 28250.35303838521 28250.35303838521 31850.35303838521 31850.35303838521 39050.35303838521 39050.35303838521 42650.35303838521 42650.35303838521 43200.07808021156 43200.07808021156 46250.35303838521 46250.35303838521 49850.35303838521 49850.35303838521 53450.35303838521 53450.35303838521 57050.35303838521 57050.35303838521 64250.35303838521 64250.35303838521 67850.35303838521 67850.35303838521 75050.35303838521 75050.35303838521 78650.35303838521 78650.35303838521 82250.35303838521 82250.35303838521 85850.35303838521 85850.35303838521 89450.35303838521 89450.35303838521 93050.35303838521 93050.35303838521 96650.35303838521 96650.35303838521 100250.35303838521 100250.35303838521 103850.24603038521 103850.24603038521 111050.24603038521 111050.24603038521 118250.24603038521 118250.24603038521 121850.24603038521 121850.24603038521 129050.24603038521 129050.24603038521 129600.07808021156 129600.07808021156 139850.24603038521 139850.24603038521 143450.24603038521 143450.24603038521 150650.24603038521 150650.24603038521 154250.24603038521 154250.24603038521 161450.24603038521 161450.24603038521 172250.24603038521 172250.24603038521 175850.24603038521 175850.24603038521 179450.24603038521 179450.24603038521 183050.24603038521 183050.24603038521 190250.24603038521 190250.24603038521 193850.24603038521 193850.24603038521 197450.24603038521 197450.24603038521 201050.24603038521 201050.24603038521 204650.24603038521 204650.24603038521 215450.24603038521 215450.24603038521 216000.07808021156 216000.07808021156 219050.24603038521 219050.24603038521 222650.24603038521 222650.24603038521 226250.24603038521 226250.24603038521 229850.24603038521 229850.24603038521 233450.24603038521 233450.24603038521 237050.24603038521 237050.24603038521 240650.24603038521 240650.24603038521 244250.24603038521 244250.24603038521 247850.24603038521 247850.24603038521 251450.24603038521 251450.24603038521 255050.24603038521 255050.24603038521 258650.24603038521 258650.24603038521","1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0"
General-0-20260518-01:47:11-2687,attr,LoRaNetworkTest.loRaGW[0].packetForwarder,highQueueLength:vector,recordingmode,vector,,
General-0-20260518-01:47:11-2687,attr,LoRaNetworkTest.loRaGW[0].packetForwarder,highQueueLength:vector,source,highQueueLength,,
General-0-20260518-01:47:11-2687,attr,LoRaNetworkTest.loRaGW[0].packetForwarder,highQueueLength:vector,title,High Priority Queue Length,,
General-0-20260518-01:47:11-2687,vector,LoRaNetworkTest.loRaGW[0].packetForwarder,lowQueueLength:vector,,,"43200.189776184 43200.57808021156 46800.189776184 46800.189776184 50400.189776184 50400.189776184 54000.189776184 54000.189776184 57600.189776184 57600.189776184 61200.189776184 61200.189776184 64800.189776184 64800.189776184 68400.189776184 68400.189776184 75600.189776184 75600.189776184 79200.189776184 79200.189776184 82800.189776184 82800.189776184 86400.189776184 86400.189776184 90000.189776184 90000.189776184 93600.189776184 93600.189776184 97200.189776184 97200.189776184 100800.189776184 100800.189776184 104400.189776184 104400.189776184 111600.189776184 111600.189776184 115200.189776184 115200.189776184 118800.189776184 118800.189776184 122400.189776184 122400.189776184 126000.189776184 126000.189776184 129600.189776184 129600.57808021156 133200.189776184 133200.189776184 136800.189776184 136800.189776184 140400.189776184 140400.189776184 144000.189776184 144000.189776184 147600.189776184 147600.189776184 151200.189776184 151200.189776184 154800.189776184 154800.189776184 158400.189776184 158400.189776184 162000.189776184 162000.189776184 165600.189776184 165600.189776184 169200.189776184 169200.189776184 172800.189776184 172800.189776184 176400.189776184 176400.189776184 180000.189776184 180000.189776184 183600.189776184 183600.189776184 187200.189776184 187200.189776184 190800.189776184 190800.189776184 194400.189776184 194400.189776184 198000.189776184 198000.189776184 201600.189776184 201600.189776184 205200.189776184 205200.189776184 208800.189776184 208800.189776184 212400.189776184 212400.189776184 216000.189776184 216000.57808021156 223200.189776184 223200.189776184 226800.189776184 226800.189776184 230400.189776184 230400.189776184 237600.189776184 237600.189776184 241200.189776184 241200.189776184 244800.189776184 244800.189776184 248400.189776184 248400.189776184 252000.189776184 252000.189776184 255600.189776184 255600.189776184","1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0"
General-0-20260518-01:47:11-2687,attr,LoRaNetworkTest.loRaGW[0].packetForwarder,lowQueueLength:vector,recordingmode,vector,,
General-0-20260518-01:47:11-2687,attr,LoRaNetworkTest.loRaGW[0].packetForwarder,lowQueueLength:vector,source,lowQueueLength,,
General-0-20260518-01:47:11-2687,attr,LoRaNetworkTest.loRaGW[0].packetForwarder,lowQueueLength:vector,title,Low Priority Queue Length,,
