run,type,module,name,attrname,attrvalue,value
General-9-20260518-02:22:33-2782,config,,,**.constraintAreaMaxX,2376.0m,
General-9-20260518-02:22:33-2782,config,,,**.constraintAreaMaxY,1090.0m,
General-9-20260518-02:22:33-2782,config,,,**.loRaGW[0].**.initialX,544.00m,
General-9-20260518-02:22:33-2782,config,,,**.loRaGW[0].**.initialY,544.00m,
General-9-20260518-02:22:33-2782,config,,,output-scalar-file,../results/n100-gw1-s9.ini.sca,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[0..1].app[0].sendInterval,1h,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[0].**.initialX,510.63m,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[0].**.initialY,500.08m,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[1].**.initialX,470.29m,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[1].**.initialY,520.24m,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[2].**.initialX,500.60m,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[2].**.initialY,590.25m,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[3].**.initialX,535.86m,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[3].**.initialY,590.63m,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[2..3].app[0].sendInterval,exponential(8760h),
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[4..5].app[0].sendInterval,exponential(4h),
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[4].**.initialX,650.85m,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[4].**.initialY,510.11m,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[5].**.initialX,680.27m,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[5].**.initialY,520.84m,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[0].**initialLoRaSF,8,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[0].**initialLoRaTP,8dBm,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[1].**initialLoRaSF,9,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[1].**initialLoRaTP,8dBm,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[2].**initialLoRaSF,7,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[2].**initialLoRaTP,8dBm,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[3].**initialLoRaSF,7,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[3].**initialLoRaTP,2dBm,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[4].**initialLoRaSF,8,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[4].**initialLoRaTP,8dBm,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[5].**initialLoRaSF,7,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[5].**initialLoRaTP,2dBm,
General-9-20260518-02:22:33-2782,config,,,**.vector-recording,false,
General-9-20260518-02:22:33-2782,config,,,**.loRaGW[*].packetForwarder.highQueueLength.vector-recording,true,
General-9-20260518-02:22:33-2782,config,,,**.loRaGW[*].packetForwarder.lowQueueLength.vector-recording,true,
General-9-20260518-02:22:33-2782,config,,,**.networkServer.app[0].delaySignal.vector-recording,true,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[*].app[0].packetsSent:scalar,true,
General-9-20260518-02:22:33-2782,config,,,**.networkServer.app[0].totalReceivedPackets:scalar,true,
General-9-20260518-02:22:33-2782,config,,,**.loRaGW[*].**.packetDropRate:scalar,true,
General-0-20260518-01:47:11-2687,runattr,,,configname,General,
General-0-20260518-01:47:11-2687,runattr,,,datetime,20260518-01:47:11,
General-0-20260518-01:47:11-2687,runattr,,,datetimef,20260518-014711,
General-0-20260518-01:47:11-2687,runattr,,,experiment,General,
General-0-20260518-01:47:11-2687,runattr,,,inifile,n100-gw1.ini,
General-0-20260518-01:47:11-2687,runattr,,,iterationvars,"$0=""avg""",
General-0-20260518-01:47:11-2687,runattr,,,iterationvarsd,avg,
General-0-20260518-01:47:11-2687,runattr,,,iterationvarsf,avg-,
