run,type,module,name,attrname,attrvalue,value
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[3].**.initialX,535.86m,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[3].**.initialY,590.63m,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[*].app[0].timeToFirstPacket,"uniform(0s, 10s)",
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[*].app[0].timeToNextPacket,exponential(300s),
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[*].app[0].sendInterval,exponential(300s),
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[{2..5}].app[0].timeToFirstPacket,"uniform(0s, 2s)",
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[{2..5}].app[0].timeToNextPacket,exponential(15s),
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[{2..5}].app[0].sendInterval,exponential(15s),
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[4].**.initialX,650.85m,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[4].**.initialY,510.11m,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[5].**.initialX,680.27m,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[5].**.initialY,520.84m,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[0].**initialLoRaSF,8,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[0].**initialLoRaTP,8dBm,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[1].**initialLoRaSF,9,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[1].**initialLoRaTP,8dBm,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[2].**initialLoRaSF,7,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[2].**initialLoRaTP,8dBm,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[3].**initialLoRaSF,8,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[3].**initialLoRaTP,2dBm,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[4].**initialLoRaSF,9,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[4].**initialLoRaTP,8dBm,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[5].**initialLoRaSF,10,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[5].**initialLoRaTP,2dBm,
General-0-20260518-19:23:44-10624,config,,,**.vector-recording,true,
General-0-20260518-19:23:44-10624,config,,,**.loRaGW[*].packetForwarder.highQueueLength.vector-recording,true,
General-0-20260518-19:23:44-10624,config,,,**.loRaGW[*].packetForwarder.lowQueueLength.vector-recording,true,
General-0-20260518-19:23:44-10624,config,,,**.networkServer.app[0].delaySignal.vector-recording,true,
General-0-20260518-19:23:44-10624,config,,,**.loRaGW[*].packetForwarder.statistic-recording,true,
General-0-20260518-19:23:44-10624,config,,,**.loRaGW[*].packetForwarder.result-recording-modes,all,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[*].app[0].packetsSent:scalar,true,
General-0-20260518-19:23:44-10624,config,,,**.networkServer.app[0].totalReceivedPackets:scalar,true,
General-0-20260518-19:23:44-10624,config,,,**.loRaGW[*].**.packetDropRate:scalar,true,
General-1-20260518-19:31:59-10638,runattr,,,configname,General,
General-1-20260518-19:31:59-10638,runattr,,,datetime,20260518-19:31:59,
General-1-20260518-19:31:59-10638,runattr,,,datetimef,20260518-193159,
General-1-20260518-19:31:59-10638,runattr,,,experiment,General,
General-1-20260518-19:31:59-10638,runattr,,,inifile,n100-gw1.ini,
General-1-20260518-19:31:59-10638,runattr,,,iterationvars,"$0=""avg""",
General-1-20260518-19:31:59-10638,runattr,,,iterationvarsd,avg,
General-1-20260518-19:31:59-10638,runattr,,,iterationvarsf,avg-,
General-1-20260518-19:31:59-10638,runattr,,,measurement,"$0=""avg""",
General-1-20260518-19:31:59-10638,runattr,,,network,flora.simulations.LoRaNetworkTest,
General-1-20260518-19:31:59-10638,runattr,,,processid,10638,
General-1-20260518-19:31:59-10638,runattr,,,repetition,1,
General-1-20260518-19:31:59-10638,runattr,,,replication,#1,
General-1-20260518-19:31:59-10638,runattr,,,resultdir,results,
General-1-20260518-19:31:59-10638,runattr,,,runnumber,1,
General-1-20260518-19:31:59-10638,runattr,,,seedset,1,
General-1-20260518-19:31:59-10638,config,,,image-path,../../../inet4.4/images,
General-1-20260518-19:31:59-10638,config,,,network,flora.simulations.LoRaNetworkTest,
General-1-20260518-19:31:59-10638,config,,,output-vector-file,../results/n100-gw1-s1.ini.vec,
General-1-20260518-19:31:59-10638,config,,,**.maxTransmissionDuration,4s,
General-1-20260518-19:31:59-10638,config,,,**.energyDetection,-110dBm,
General-1-20260518-19:31:59-10638,config,,,rng-class,cMersenneTwister,
General-1-20260518-19:31:59-10638,config,,,**.loRaGW[*].numUdpApps,1,
General-1-20260518-19:31:59-10638,config,,,**.loRaGW[0].packetForwarder.localPort,2000,
